"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","Not only are they starring in some of todays most talked about shows, these 5 actresses are leading the way in imp ",FALSE,14,NA,2017-12-05 19:43:01,TRUE,NA,"938131617243115520",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",4,FALSE,FALSE,NA,NA
"27","From leopard-print pumps to metallic boots  discover the @Official_Ganni shoes you wont find anywhere else at ",FALSE,6,NA,2017-12-05 17:29:02,TRUE,NA,"938097898012758016",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"28","Name to know: the jewelry designer + her statement earrings topping fashion-forward wish lists #THEEDIT ",FALSE,17,NA,2017-12-05 15:36:01,TRUE,NA,"938069456466661381",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",9,FALSE,FALSE,NA,NA
"29","Tis the season for treats all round: what beauty product makes the best gift? ",FALSE,4,NA,2017-12-05 13:14:24,FALSE,NA,"938033819122372609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NETAPORTER",2,FALSE,FALSE,NA,NA
"30","The magic trifecta: the only three beauty products you need for party season #THEEDIT ",FALSE,12,NA,2017-12-05 11:45:01,FALSE,NA,"938011322385600512",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",0,FALSE,FALSE,NA,NA
"31","Quilted in chevron stripes, and turning to reveal a heart at the back, its impossible not to fall in love with ",FALSE,16,NA,2017-12-05 10:22:01,TRUE,NA,"937990436349775872",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",3,FALSE,FALSE,NA,NA
"32","Quilted in chevron stripes, and turning to reveal a heart at the back, its impossible not to fall in love with ",FALSE,26,NA,2017-12-05 09:16:02,TRUE,NA,"937973828382322688",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",4,FALSE,FALSE,NA,NA
"33","Sexy, slinky + super-simple: this dress is your new party season BFF #THEEDIT ",FALSE,3,NA,2017-12-04 23:41:01,FALSE,NA,"937829122344136704",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",1,FALSE,FALSE,NA,NA
"34","Our brilliant leading ladies on representation + the evolution of female characters in our annual Women in TV debat ",FALSE,34,NA,2017-12-04 21:17:01,TRUE,NA,"937792883746369538",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",12,FALSE,FALSE,NA,NA
"35","Currently pinning: must-have knits. With exaggerated sleeves, @CalvinKleins cut-out sweater looks just as good wor ",FALSE,17,NA,2017-12-04 19:45:01,TRUE,NA,"937769732870111233",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","NETAPORTER",7,FALSE,FALSE,NA,NA
