"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","The Most Wanted pieces of the season that you can't get enough of: @YSL @shopredone #Attico ",FALSE,5,NA,2017-10-22 11:05:25,FALSE,NA,"922056289823481856",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"45","From Simon Miller to Cult Gaia, these are the handbag labelsand stylesyou need right now: ",FALSE,6,NA,2017-10-22 03:00:25,FALSE,NA,"921934237917433857",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"46","10 exclusive pieces from #ExInfinitas highly limited capsule collection: ",FALSE,1,NA,2017-10-22 00:46:38,FALSE,NA,"921900567819177984",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"47","The limited edition black @MarceloBurlonx x @Reebok Zoku sneakers have arrived! Hurrythey won't be around for long ",FALSE,9,NA,2017-10-19 11:56:56,TRUE,NA,"920982093546520577",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",3,FALSE,FALSE,NA,NA
"48","From puffers to trenches, consider yourself covered this season with our round-up of #AW17's finest coats: ",FALSE,7,NA,2017-10-19 01:29:20,TRUE,NA,"920824153439076358",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"49","@ferdinand_l0 Hello! Thank you reaching out! Would you be so kind and send us a DM, so that we can further discuss you inquiry. Thanks, F...",FALSE,0,"ferdinand_l0",2017-10-17 22:53:55,FALSE,"920344546940276738","920422653873348610","829770788463054849","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"50","@MrSalPerez Hello! Thank you for your feedback! We greatly appreciate your patronage and loyalty. Thanks, Farfetch.",FALSE,1,"MrSalPerez",2017-10-17 22:50:56,FALSE,"920346775306649600","920421901402624001","33577529","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"51","What emoji best describes your Halloween costume?",FALSE,1,NA,2017-10-15 23:22:50,FALSE,NA,"919705152763891713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",1,FALSE,FALSE,NA,NA
"52","Spotted at #ShanghaiFashionWeek: Monochrome makes that trompe l'oeil Prada bag stand out. See more: ",FALSE,7,NA,2017-10-15 19:10:13,TRUE,NA,"919641581468241922",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"53","Hello, daddy! Seriously, dadcore really is a thing: ",FALSE,7,NA,2017-10-15 17:10:12,FALSE,NA,"919611375055441920",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"54","Bundle up your mini-me in the best kidswear fall has to offer: ",FALSE,0,NA,2017-10-15 15:05:12,FALSE,NA,"919579917976834048",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"55","The 10 best vintage pieces to invest in now, according to @ANGELOVINTAGE: ",FALSE,5,NA,2017-10-15 12:55:22,FALSE,NA,"919547247343349760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"56","10 monochrome essentials every wardrobe needs, picked by @kaity_modern: ",FALSE,3,NA,2017-10-14 18:50:13,FALSE,NA,"919274158546145280",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"57","Ksubi x @trvisXX. It won't be around for long: ",FALSE,3,NA,2017-10-14 15:55:14,FALSE,NA,"919230122150039554",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"58","Are you a @chloefashion girl? Shop Clare Waight Keller's final collection for the French fashion house: ",FALSE,4,NA,2017-10-14 14:40:59,TRUE,NA,"919211436441849856",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
